Model,N,mortgage_rate coef,mortgage_rate p,mort_change coef,mort_change p,mort_change_lag1 coef,mort_change_lag1 p,mort_x_post_qe coef,mort_x_post_qe p
4A YoY baseline,720,-2.21729479316308,0.00430696883690751,,,,,,
4B Δ rate + lag,720,,,1.842391527969898,0.027094318853335242,-1.8182041517626817,0.021011050921248442,,
4C QE interaction,720,-2.8493102803243118,0.0012410457717664247,,,,,3.411426403930096,0.07901878179880883
4D 2009-2019 YoY,396,-2.1679871500027295,0.052709110336240705,,,,,,
