date,hpi,country,mortgage_rate,gdp_growth,unemployment,permits,ecb_rate,hpi_growth,hpi_growth_yoy,mort_lag1,mort_lag2,mort_lag3,mort_lag4,post_qe,mort_change,mort_change_lag1,mort_x_post_qe
2003-06-30,79.5914,AT,4.396666666666667,-0.1,4.8,56.4,1.3626373626373627,-0.9775172281657363,,4.87,,,,0,-0.4733333333333327,,0.0
2003-09-30,78.8057,AT,4.1499999999999995,-0.6,4.8,55.4,1.0,-0.9871669552237949,,4.396666666666667,4.87,,,0,-0.24666666666666792,-0.4733333333333327,0.0
2003-12-31,80.8486,AT,4.14,0.6,5.033333,73.4,1.0,2.5923251744480513,,4.1499999999999995,4.396666666666667,4.87,,0,-0.009999999999999787,-0.24666666666666792,0.0
2004-03-31,74.7987,AT,4.08,1.3,6.0,62.0,1.0,-7.4829990871827174,-6.940285230494759,4.14,4.1499999999999995,4.396666666666667,4.87,0,-0.05999999999999961,-0.009999999999999787,0.0
2004-06-30,78.7272,AT,3.86,-0.2,5.8,61.0,1.0,5.252096627347802,-1.0857957015456443,4.08,4.14,4.1499999999999995,4.396666666666667,0,-0.2200000000000002,-0.05999999999999961,0.0
2004-09-30,79.12,AT,3.76,0.4,5.766667,65.3,1.0,0.49893810525460935,0.3988290187131094,3.86,4.08,4.14,4.1499999999999995,0,-0.10000000000000009,-0.2200000000000002,0.0
2004-12-31,80.8486,AT,3.7433333333333336,0.9,5.933333,71.7,1.0,2.1847826086956568,0.0,3.76,3.86,4.08,4.14,0,-0.016666666666666163,-0.10000000000000009,0.0
2005-03-31,81.1628,AT,3.6566666666666663,0.3,5.8,68.8,1.0,0.38862763238942666,8.508302951789283,3.7433333333333336,3.76,3.86,4.08,0,-0.08666666666666734,-0.016666666666666163,0.0
2005-06-30,81.9485,AT,3.5100000000000002,1.0,6.1,71.3,1.0,0.9680543303089539,4.091724334156432,3.6566666666666663,3.7433333333333336,3.76,3.86,0,-0.14666666666666606,-0.08666666666666734,0.0
2005-09-30,82.0271,AT,3.4766666666666666,1.8,6.066667,65.1,1.0,0.0959138971427187,3.6742922143579326,3.5100000000000002,3.6566666666666663,3.7433333333333336,3.76,0,-0.03333333333333366,-0.14666666666666606,0.0
2005-12-31,83.9914,AT,3.53,-0.8,6.133333,69.4,1.0706521739130435,2.3946963869257765,3.8872658277323113,3.4766666666666666,3.5100000000000002,3.6566666666666663,3.7433333333333336,0,0.05333333333333323,-0.03333333333333366,0.0
2006-03-31,84.9342,AT,3.5866666666666664,1.0,6.066667,76.6,1.3166666666666667,1.1224958745776448,4.646710069144988,3.53,3.4766666666666666,3.5100000000000002,3.6566666666666663,0,0.05666666666666664,0.05333333333333323,0.0
2006-06-30,85.6413,AT,3.6799999999999997,0.5,5.7,79.2,1.543956043956044,0.832526826649338,4.506244775682289,3.5866666666666664,3.53,3.4766666666666666,3.5100000000000002,0,0.09333333333333327,0.05666666666666664,0.0
2006-09-30,86.1913,AT,3.8833333333333333,0.3,5.3,78.2,1.8940217391304348,0.6422135114716898,5.076614923604517,3.6799999999999997,3.5866666666666664,3.53,3.4766666666666666,0,0.2033333333333336,0.09333333333333327,0.0
2006-12-31,85.877,AT,4.173333333333333,-0.1,5.333333,68.7,2.2744565217391304,-0.3646539731968379,2.2449917491552673,3.8833333333333333,3.6799999999999997,3.5866666666666664,3.53,0,0.2899999999999996,0.2033333333333336,0.0
